slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-061,strict,red,TEAM_ELIMINATION,loss,7,4,3,10761,10.597290899953805,0,5
MATCH-061,bounded,red,PROVIDER_FORFEIT,loss,6,6,3,17099,11.566021099977661,0,20
MATCH-061,stepwise,red,CORE_DESTRUCTION,loss,11,17,5,44157,27.544874700077344,0,30
MATCH-062,bounded,blue,PROVIDER_FORFEIT,loss,1,4,1,13233,11.41895670001395,0,0
MATCH-062,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39216,21.929505299951416,0,30
MATCH-062,strict,blue,CORE_DESTRUCTION,loss,10,7,5,21694,13.741554800071754,0,30
MATCH-063,stepwise,red,REQUEST_LIMIT,limit,94,140,47,346249,203.04574209987186,0,18
MATCH-063,strict,red,TEAM_ELIMINATION,loss,7,4,3,11082,6.7992316000163555,0,5
MATCH-063,bounded,red,TEAM_ELIMINATION,loss,14,12,7,33134,24.365331500011962,0,20
MATCH-064,strict,blue,PROVIDER_FORFEIT,loss,3,4,2,13286,6.979031900060363,0,0
MATCH-064,bounded,blue,PROVIDER_FORFEIT,loss,7,8,4,24332,13.48038079997059,0,0
MATCH-064,stepwise,blue,CORE_DESTRUCTION,loss,10,13,5,36103,17.84739690000424,0,30
MATCH-065,bounded,red,PROVIDER_FORFEIT,loss,6,5,3,13910,8.731004099943675,0,20
MATCH-065,stepwise,red,TEAM_ELIMINATION,loss,44,67,22,166440,99.18161370011512,0,21
MATCH-065,strict,red,TEAM_ELIMINATION,loss,16,8,8,20588,13.706321400008164,0,15
MATCH-066,stepwise,blue,CORE_DESTRUCTION,win,13,22,7,57508,31.304687700117938,30,18
MATCH-066,strict,blue,CORE_DESTRUCTION,loss,14,8,7,22270,14.907065600040369,0,30
MATCH-066,bounded,blue,CORE_DESTRUCTION,loss,10,10,5,25162,22.948191599920392,0,30
MATCH-067,strict,red,TEAM_ELIMINATION,loss,12,6,6,14790,11.636795000056736,0,5
MATCH-067,bounded,red,TEAM_ELIMINATION,loss,13,9,6,24279,18.323712100100238,0,15
MATCH-067,stepwise,red,REQUEST_LIMIT,limit,92,140,46,363908,205.54073259979486,0,18
MATCH-068,bounded,blue,CORE_DESTRUCTION,loss,16,13,8,36671,22.747812199988402,0,30
MATCH-068,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,43458,21.089899200072978,0,30
MATCH-068,strict,blue,PROVIDER_FORFEIT,loss,3,4,2,12985,7.283279099967331,0,0
MATCH-069,stepwise,red,REQUEST_LIMIT,limit,94,140,47,363217,211.37005070014857,0,18
MATCH-069,strict,red,TEAM_ELIMINATION,loss,52,30,26,81354,53.06035870028427,0,20
MATCH-069,bounded,red,TEAM_ELIMINATION,loss,7,7,3,18399,14.155822100001387,0,0
MATCH-070,strict,blue,CORE_DESTRUCTION,loss,12,7,6,20383,13.015647499938495,0,30
MATCH-070,bounded,blue,TEAM_ELIMINATION,loss,16,15,8,42671,29.242733399907593,0,10
MATCH-070,stepwise,blue,CORE_DESTRUCTION,loss,10,16,5,42389,25.126294399960898,0,30
