slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-021,stepwise,red,REQUEST_LIMIT,limit,94,140,47,363250,238.154132499767,0,18
MATCH-021,strict,red,TEAM_ELIMINATION,loss,7,5,3,14151,9.35418609995395,0,5
MATCH-021,bounded,red,TEAM_ELIMINATION,loss,5,6,2,16836,11.055701799981762,0,0
MATCH-022,strict,blue,PROVIDER_FORFEIT,loss,57,36,29,97697,64.07805300003383,0,0
MATCH-022,bounded,blue,TEAM_ELIMINATION,loss,8,8,4,22530,16.39646180003183,0,18
MATCH-022,stepwise,blue,PROVIDER_FORFEIT,loss,1,4,1,12572,8.107519099954516,0,0
MATCH-023,bounded,red,TEAM_ELIMINATION,loss,7,5,3,13544,8.05405029997928,0,0
MATCH-023,stepwise,red,CORE_DESTRUCTION,loss,23,36,11,88797,60.66367370012449,0,30
MATCH-023,strict,red,TEAM_ELIMINATION,loss,7,4,3,11112,11.571115299942903,0,5
MATCH-024,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39775,26.463097299973015,0,30
MATCH-024,strict,blue,CORE_DESTRUCTION,loss,12,8,6,21096,17.493196599942166,0,30
MATCH-024,bounded,blue,PROVIDER_FORFEIT,loss,3,4,2,12074,7.505615799978841,0,0
MATCH-025,strict,red,TEAM_ELIMINATION,loss,7,3,3,7730,5.324240199988708,0,0
MATCH-025,bounded,red,TEAM_ELIMINATION,loss,11,12,5,34680,22.22413259994937,0,20
MATCH-025,stepwise,red,TEAM_ELIMINATION,loss,17,28,8,66776,45.670784599962644,0,18
MATCH-026,bounded,blue,PROVIDER_FORFEIT,loss,7,7,4,20574,13.902510199986864,0,0
MATCH-026,stepwise,blue,CORE_DESTRUCTION,loss,10,13,5,34882,19.481216399930418,0,30
MATCH-026,strict,blue,CORE_DESTRUCTION,loss,14,8,7,22751,13.897905399906449,0,30
MATCH-027,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,43257,29.875156000023708,0,30
MATCH-027,strict,red,CORE_DESTRUCTION,loss,11,6,5,16908,10.506278899963945,0,30
MATCH-027,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18272,13.401826300018001,0,0
MATCH-028,strict,blue,PROVIDER_FORFEIT,loss,5,6,3,18463,12.849546899960842,0,0
MATCH-028,bounded,blue,PROVIDER_FORFEIT,loss,3,3,2,9716,5.224435700045433,0,0
MATCH-028,stepwise,blue,PROVIDER_FORFEIT,loss,1,2,1,6464,3.5788795999833383,0,0
MATCH-029,bounded,red,PROVIDER_FORFEIT,loss,2,2,1,6263,4.2055039999540895,0,0
MATCH-029,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,42190,26.307884600071702,0,30
MATCH-029,strict,red,CORE_DESTRUCTION,loss,9,6,4,17864,11.243640000058804,0,30
MATCH-030,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,43255,25.196258400101215,0,30
MATCH-030,strict,blue,CORE_DESTRUCTION,loss,10,7,5,21328,15.861491999879945,0,30
MATCH-030,bounded,blue,CORE_DESTRUCTION,loss,10,9,5,25720,15.927206100022886,0,30
