slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-051,stepwise,red,REQUEST_LIMIT,limit,94,140,47,350288,215.5444378000684,0,18
MATCH-051,strict,red,CORE_DESTRUCTION,loss,11,5,5,13860,10.489266200049315,0,30
MATCH-051,bounded,red,TEAM_ELIMINATION,loss,91,49,45,101589,80.20376009994652,0,18
MATCH-052,strict,blue,PROVIDER_FORFEIT,loss,3,3,2,9737,6.474084499990568,0,0
MATCH-052,bounded,blue,TEAM_ELIMINATION,loss,8,10,4,27075,21.15952460007975,0,0
MATCH-052,stepwise,blue,CORE_DESTRUCTION,loss,8,12,4,32195,18.001625899982173,0,30
MATCH-053,bounded,red,PROVIDER_FORFEIT,loss,2,2,1,6239,4.285934899991844,0,0
MATCH-053,stepwise,red,CORE_DESTRUCTION,loss,17,27,8,64968,40.58901049994165,0,30
MATCH-053,strict,red,PROVIDER_FORFEIT,loss,2,2,1,6153,4.065309500030708,0,0
MATCH-054,stepwise,blue,CORE_DESTRUCTION,loss,12,17,6,42264,27.75609120010631,0,30
MATCH-054,strict,blue,TEAM_ELIMINATION,loss,8,6,4,18076,12.195581399952061,0,0
MATCH-054,bounded,blue,PROVIDER_FORFEIT,loss,5,6,3,19418,11.190029000048526,0,0
MATCH-055,strict,red,TEAM_ELIMINATION,loss,7,3,3,7670,6.861093999934383,0,5
MATCH-055,bounded,red,PROVIDER_FORFEIT,loss,4,4,2,11179,7.938074700010475,0,0
MATCH-055,stepwise,red,TEAM_ELIMINATION,loss,7,11,3,27598,24.521768699982204,0,0
MATCH-056,bounded,blue,TEAM_ELIMINATION,loss,28,27,14,70709,52.90776690014172,18,9
MATCH-056,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,42630,22.960987499915063,0,30
MATCH-056,strict,blue,PROVIDER_FORFEIT,loss,3,3,2,9700,5.50567810004577,0,0
MATCH-057,stepwise,red,TEAM_ELIMINATION,loss,9,12,4,30084,18.063922800007276,0,20
MATCH-057,strict,red,TEAM_ELIMINATION,loss,26,13,13,32291,23.54230239993194,0,5
MATCH-057,bounded,red,TEAM_ELIMINATION,loss,10,6,5,15194,21.76936699997168,0,0
MATCH-058,strict,blue,PROVIDER_FORFEIT,loss,3,4,2,13302,11.169052400044166,0,0
MATCH-058,bounded,blue,PROVIDER_FORFEIT,loss,7,7,4,21966,14.979074499977287,9,0
MATCH-058,stepwise,blue,REQUEST_LIMIT,limit,89,140,45,330460,198.89138350024587,0,9
MATCH-059,bounded,red,TEAM_ELIMINATION,loss,11,9,5,24159,19.884979200025555,0,18
MATCH-059,stepwise,red,TEAM_ELIMINATION,loss,10,14,5,35074,21.692928400007077,0,20
MATCH-059,strict,red,PROVIDER_FORFEIT,loss,2,2,1,6217,4.949014800018631,0,0
MATCH-060,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,43160,25.00924549996853,0,30
MATCH-060,strict,blue,CORE_DESTRUCTION,loss,12,7,6,19353,15.317609400022775,0,30
MATCH-060,bounded,blue,PROVIDER_FORFEIT,loss,1,4,1,13230,7.258531799947377,0,0
