slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-071,bounded,red,TEAM_ELIMINATION,loss,13,10,6,27605,24.603765100124292,0,20
MATCH-071,stepwise,red,CORE_DESTRUCTION,loss,13,17,6,44069,26.886767300020438,0,30
MATCH-071,strict,red,TEAM_ELIMINATION,loss,10,5,5,12410,8.741763600090053,0,5
MATCH-072,stepwise,blue,CORE_DESTRUCTION,loss,6,9,3,26154,14.820020499988459,0,30
MATCH-072,strict,blue,CORE_DESTRUCTION,loss,8,4,4,10836,7.420696499932092,0,30
MATCH-072,bounded,blue,CORE_DESTRUCTION,loss,8,8,4,24203,14.257538000005297,0,30
MATCH-073,strict,red,PROVIDER_FORFEIT,loss,2,2,1,6210,3.6858663000166416,0,0
MATCH-073,bounded,red,PROVIDER_FORFEIT,loss,2,3,1,8775,5.72572659997968,0,0
MATCH-073,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,42114,24.64785019995179,0,30
MATCH-074,bounded,blue,CORE_DESTRUCTION,loss,12,9,6,25010,15.700231500028167,10,30
MATCH-074,stepwise,blue,CORE_DESTRUCTION,loss,10,14,5,36968,22.084370299999136,0,30
MATCH-074,strict,blue,PROVIDER_FORFEIT,loss,3,3,2,9658,5.4481685000355355,0,0
MATCH-075,stepwise,red,REQUEST_LIMIT,limit,94,140,47,340965,192.82919269998092,0,18
MATCH-075,strict,red,TEAM_ELIMINATION,loss,10,7,5,18832,11.12231589993462,0,5
MATCH-075,bounded,red,TEAM_ELIMINATION,loss,8,10,4,27198,15.976905800052918,0,5
MATCH-076,strict,blue,TEAM_ELIMINATION,loss,54,36,27,87456,56.99544920003973,0,0
MATCH-076,bounded,blue,CORE_DESTRUCTION,loss,10,7,5,18623,12.813763500016648,0,30
MATCH-076,stepwise,blue,TEAM_ELIMINATION,loss,14,21,7,58150,33.813419000129215,0,20
MATCH-077,bounded,red,CORE_DESTRUCTION,loss,7,4,3,10702,6.6285808000247926,0,30
MATCH-077,stepwise,red,CORE_DESTRUCTION,loss,19,29,9,71905,44.37844589998713,0,30
MATCH-077,strict,red,TEAM_ELIMINATION,loss,7,4,3,10761,6.72237899992615,0,5
MATCH-078,stepwise,blue,CORE_DESTRUCTION,loss,10,16,5,46635,24.69979260006221,0,30
MATCH-078,strict,blue,TEAM_ELIMINATION,loss,12,8,6,23808,13.816634500108194,0,10
MATCH-078,bounded,blue,PROVIDER_FORFEIT,loss,3,6,2,19920,10.402313000056893,0,0
MATCH-079,strict,red,TEAM_ELIMINATION,loss,10,5,5,12461,8.844451099983416,0,0
MATCH-079,bounded,red,TEAM_ELIMINATION,loss,13,9,6,25306,16.676547899958678,0,0
MATCH-079,stepwise,red,REQUEST_LIMIT,limit,94,140,47,350791,202.22771589976037,0,18
MATCH-080,bounded,blue,PROVIDER_FORFEIT,loss,9,8,5,21294,16.87698110000929,0,0
MATCH-080,stepwise,blue,CORE_DESTRUCTION,loss,10,14,5,37478,20.82608169998275,0,30
MATCH-080,strict,blue,PROVIDER_FORFEIT,loss,3,4,2,13421,9.441731700033415,0,0
