slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-031,strict,red,PROVIDER_FORFEIT,loss,2,2,1,6150,5.605429399991408,0,0
MATCH-031,bounded,red,TEAM_ELIMINATION,loss,8,11,4,28785,22.793219699990004,0,5
MATCH-031,stepwise,red,REQUEST_LIMIT,limit,94,140,47,364261,210.97461410006508,0,18
MATCH-032,bounded,blue,PROVIDER_FORFEIT,loss,1,4,1,13233,8.788873500016052,0,0
MATCH-032,stepwise,blue,CORE_DESTRUCTION,loss,10,14,5,37478,22.539922999974806,0,30
MATCH-032,strict,blue,PROVIDER_FORFEIT,loss,1,2,1,6598,3.668005399988033,0,0
MATCH-033,stepwise,red,REQUEST_LIMIT,limit,94,140,47,307876,217.3617315995507,0,18
MATCH-033,strict,red,TEAM_ELIMINATION,loss,5,3,2,8351,7.323116299987305,0,0
MATCH-033,bounded,red,TEAM_ELIMINATION,loss,13,14,6,38627,26.86693809996359,0,0
MATCH-034,strict,blue,CORE_DESTRUCTION,loss,10,6,5,17642,12.71870470000431,0,30
MATCH-034,bounded,blue,CORE_DESTRUCTION,loss,10,8,5,20812,14.0426182000665,0,30
MATCH-034,stepwise,blue,TEAM_ELIMINATION,loss,8,11,4,28388,18.827507400070317,0,0
MATCH-035,bounded,red,TEAM_ELIMINATION,loss,15,16,7,43711,33.58529459993588,0,20
MATCH-035,stepwise,red,CORE_DESTRUCTION,loss,11,18,5,46816,31.20365480001783,0,30
MATCH-035,strict,red,CORE_DESTRUCTION,loss,7,5,3,14141,9.106000099971425,0,30
MATCH-036,stepwise,blue,CORE_DESTRUCTION,loss,8,11,4,29340,18.76986219995888,0,30
MATCH-036,strict,blue,TEAM_ELIMINATION,loss,12,8,6,22174,18.81299560010666,0,20
MATCH-036,bounded,blue,TEAM_ELIMINATION,loss,6,6,3,17436,12.13731880002888,0,0
MATCH-037,strict,red,CORE_DESTRUCTION,loss,7,4,3,10767,7.673373399942648,0,30
MATCH-037,bounded,red,PROVIDER_FORFEIT,loss,4,4,2,11262,7.725566000037361,0,0
MATCH-037,stepwise,red,REQUEST_LIMIT,limit,94,140,47,349053,218.41689409973333,0,18
MATCH-038,bounded,blue,CORE_DESTRUCTION,loss,12,10,6,29501,18.569195999996737,0,30
MATCH-038,stepwise,blue,CORE_DESTRUCTION,loss,10,13,5,34882,20.312626700033434,0,30
MATCH-038,strict,blue,CORE_DESTRUCTION,loss,10,7,5,21609,14.827721599896904,0,30
MATCH-039,stepwise,red,CORE_DESTRUCTION,loss,27,42,13,106862,64.55220969999209,0,30
MATCH-039,strict,red,TEAM_ELIMINATION,loss,12,7,6,17843,14.580860999936704,0,5
MATCH-039,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18274,12.09764900006121,0,0
MATCH-040,strict,blue,CORE_DESTRUCTION,loss,14,10,7,30341,18.264105100010056,0,30
MATCH-040,bounded,blue,PROVIDER_FORFEIT,loss,5,5,3,16143,12.022901399992406,0,0
MATCH-040,stepwise,blue,CORE_DESTRUCTION,loss,10,16,5,41999,33.89952139998786,0,30
