slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-041,bounded,red,TEAM_ELIMINATION,loss,10,8,5,19635,16.451438200019766,0,5
MATCH-041,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,42114,26.609412800054997,0,30
MATCH-041,strict,red,CORE_DESTRUCTION,loss,7,5,3,15059,8.4698245000327,0,30
MATCH-042,stepwise,blue,CORE_DESTRUCTION,loss,10,14,5,37079,24.118384100089315,0,30
MATCH-042,strict,blue,PROVIDER_FORFEIT,loss,15,11,8,32988,22.90951629995834,0,18
MATCH-042,bounded,blue,PROVIDER_FORFEIT,loss,1,2,1,6640,3.2921296000131406,0,0
MATCH-043,strict,red,TEAM_ELIMINATION,loss,11,7,5,19630,17.109827500011306,0,0
MATCH-043,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18274,11.977003799984232,0,0
MATCH-043,stepwise,red,PROVIDER_FORFEIT,loss,14,24,7,58677,44.48925060010515,0,18
MATCH-044,bounded,blue,PROVIDER_FORFEIT,loss,9,8,5,22822,15.03816460003145,5,0
MATCH-044,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39424,25.607084900024347,0,30
MATCH-044,strict,blue,CORE_DESTRUCTION,loss,10,6,5,17947,11.184117300086655,0,30
MATCH-045,stepwise,red,CORE_DESTRUCTION,loss,11,17,5,44213,25.523813700012397,0,30
MATCH-045,strict,red,CORE_DESTRUCTION,loss,7,5,3,15078,8.878686099953484,0,30
MATCH-045,bounded,red,PROVIDER_FORFEIT,loss,16,14,8,38351,26.11748039990198,0,9
MATCH-046,strict,blue,PROVIDER_FORFEIT,loss,3,3,2,9700,5.79930069996044,0,0
MATCH-046,bounded,blue,PROVIDER_FORFEIT,loss,3,3,2,9653,5.786648600012995,0,0
MATCH-046,stepwise,blue,CORE_DESTRUCTION,loss,10,14,5,38549,24.065229700005148,0,30
MATCH-047,bounded,red,TEAM_ELIMINATION,loss,13,10,6,27672,16.76499769993825,0,15
MATCH-047,stepwise,red,REQUEST_LIMIT,limit,94,140,47,350382,214.43789259984624,0,18
MATCH-047,strict,red,TEAM_ELIMINATION,loss,5,4,2,11866,9.09655290003866,0,0
MATCH-048,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39572,23.742300599988084,0,30
MATCH-048,strict,blue,CORE_DESTRUCTION,loss,12,7,6,17467,14.385220400057733,0,30
MATCH-048,bounded,blue,PROVIDER_FORFEIT,loss,3,4,2,13422,9.189798299921677,0,0
MATCH-049,strict,red,TEAM_ELIMINATION,loss,7,3,3,7698,5.635092500015162,0,5
MATCH-049,bounded,red,TEAM_ELIMINATION,loss,29,19,14,44423,30.02325790002942,0,18
MATCH-049,stepwise,red,CORE_DESTRUCTION,loss,11,17,5,44990,27.594002899946645,0,30
MATCH-050,bounded,blue,PROVIDER_FORFEIT,loss,11,16,6,51830,26.446613200067077,0,0
MATCH-050,stepwise,blue,CORE_DESTRUCTION,loss,8,11,4,29340,16.960976299946196,0,30
MATCH-050,strict,blue,TEAM_ELIMINATION,loss,7,4,4,10841,7.46462830004748,0,0
