slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-019,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3057596000144258,0,0
MATCH-019,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2747129999916069,0,0
MATCH-019,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.250574300007429,0,30
MATCH-020,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3432594999903813,0,30
MATCH-020,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9716978999786079,0,30
MATCH-020,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30634370003826916,0,30
MATCH-021,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.213871099986136,0,30
MATCH-021,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.286238000029698,0,0
MATCH-021,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2636479999637231,0,0
MATCH-022,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3614128999761306,0,30
MATCH-022,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.305921999970451,0,30
MATCH-022,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.01476490002824,0,30
MATCH-023,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.24027109995950013,0,0
MATCH-023,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.189144599949941,0,30
MATCH-023,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2851563000003807,0,0
MATCH-024,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9572030000272207,0,30
MATCH-024,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3146881999564357,0,30
MATCH-024,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.324680499965325,0,30
MATCH-025,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2881980999954976,0,0
MATCH-025,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.289219000027515,0,0
MATCH-025,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2404364999383688,0,30
MATCH-026,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3177781999693252,0,30
MATCH-026,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9857445999514312,0,30
MATCH-026,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.303459600021597,0,30
MATCH-027,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.256323200010229,0,30
MATCH-027,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2684572999714874,0,0
MATCH-027,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27107030007755384,0,0
MATCH-028,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3401210999581963,0,30
MATCH-028,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30601859994931147,0,30
MATCH-028,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0208084000623785,0,30
MATCH-029,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26205050002317876,0,0
